datetime,open,high,low,close,volume
2019-06-04 03:36:00+00:00,7985.75,8004.19,7985.63,8002.23,52.535247
2019-06-04 03:37:00+00:00,8002.23,8005.0,8000.0,8000.0,170.545037
2019-06-04 03:38:00+00:00,8000.0,8006.75,8000.0,8006.75,66.107134
2019-06-04 03:39:00+00:00,8006.75,8015.95,8003.22,8013.95,30.712504
2019-06-04 03:40:00+00:00,8012.48,8012.77,8000.0,8001.56,17.603991
2019-06-04 03:41:00+00:00,8002.92,8008.16,8000.83,8005.1,17.43133
2019-06-04 03:42:00+00:00,8004.1,8004.1,8000.51,8002.78,17.842618
2019-06-04 03:43:00+00:00,8002.76,8010.0,8000.51,8009.53,31.267679
2019-06-04 03:44:00+00:00,8008.23,8010.88,7988.88,7989.98,474.977076
2019-06-04 03:45:00+00:00,7989.96,7995.89,7982.28,7986.55,42.894088
2019-06-04 03:46:00+00:00,7986.94,7987.99,7976.02,7976.08,16.152113
2019-06-04 03:47:00+00:00,7976.07,7982.22,7961.06,7970.01,82.932833
2019-06-04 03:48:00+00:00,7971.67,7971.67,7908.51,7954.27,166.690727
2019-06-04 03:49:00+00:00,7954.83,7971.39,7954.21,7959.63,33.993722
2019-06-04 03:50:00+00:00,7957.95,7969.98,7946.15,7969.98,30.776382
2019-06-04 03:51:00+00:00,7969.07,7976.08,7962.3,7969.9,25.823737
2019-06-04 03:52:00+00:00,7968.22,7980.0,7967.93,7978.11,22.83494
2019-06-04 03:53:00+00:00,7979.96,7981.71,7973.0,7973.0,38.537184
2019-06-04 03:54:00+00:00,7973.72,7977.24,7965.22,7968.02,23.561219
2019-06-04 03:55:00+00:00,7968.02,7968.04,7954.89,7955.0,27.604676
2019-06-04 03:56:00+00:00,7958.87,7958.87,7948.59,7954.35,58.512056
2019-06-04 03:57:00+00:00,7954.35,7955.0,7933.02,7942.0,44.726655
2019-06-04 03:58:00+00:00,7942.0,7945.21,7900.35,7922.97,125.779772
2019-06-04 03:59:00+00:00,7924.29,7926.01,7879.0,7895.93,205.463559
2019-06-04 04:00:00+00:00,7895.91,7934.99,7888.94,7931.41,103.105704
2019-06-04 04:01:00+00:00,7931.41,7953.88,7915.02,7949.67,118.749815
2019-06-04 04:02:00+00:00,7949.44,7949.45,7919.94,7928.66,71.47143
2019-06-04 04:03:00+00:00,7931.24,7939.62,7926.18,7930.88,30.303667
2019-06-04 04:04:00+00:00,7930.88,7949.09,7925.74,7948.94,49.671307
2019-06-04 04:05:00+00:00,7946.67,7956.11,7928.5,7938.92,54.425106
2019-06-04 04:06:00+00:00,7942.83,7945.38,7927.02,7927.23,21.494927
2019-06-04 04:07:00+00:00,7927.63,7935.98,7902.24,7907.91,56.351679
2019-06-04 04:08:00+00:00,7907.63,7919.23,7878.22,7890.94,110.17709
2019-06-04 04:09:00+00:00,7892.86,7939.99,7891.0,7933.92,225.03932
2019-06-04 04:10:00+00:00,7933.92,7948.99,7930.0,7933.74,134.651055
2019-06-04 04:11:00+00:00,7933.74,7935.11,7907.38,7914.1,190.407087
2019-06-04 04:12:00+00:00,7914.31,7916.59,7900.0,7906.42,67.361109
2019-06-04 04:13:00+00:00,7907.74,7917.77,7886.66,7908.24,122.842263
2019-06-04 04:14:00+00:00,7908.27,7910.5,7894.13,7903.54,47.637234
2019-06-04 04:15:00+00:00,7901.38,7926.53,7901.37,7924.48,300.625151
2019-06-04 04:16:00+00:00,7924.48,7938.27,7921.13,7938.27,39.738758
2019-06-04 04:17:00+00:00,7938.62,7939.69,7922.07,7927.41,29.178506
2019-06-04 04:18:00+00:00,7928.2,7943.47,7924.26,7942.97,30.268598
2019-06-04 04:19:00+00:00,7943.07,7950.0,7942.31,7946.96,37.835383
2019-06-04 04:20:00+00:00,7945.21,7948.02,7924.54,7935.0,35.181417
2019-06-04 04:21:00+00:00,7935.0,7949.7,7933.29,7943.07,54.762896
2019-06-04 04:22:00+00:00,7943.31,7972.29,7943.31,7969.64,78.34586
2019-06-04 04:23:00+00:00,7965.88,7973.99,7959.01,7972.07,36.998593
2019-06-04 04:24:00+00:00,7972.06,7977.0,7965.82,7966.61,40.123729
2019-06-04 04:25:00+00:00,7966.61,7973.44,7962.8,7965.52,26.54991
2019-06-04 04:26:00+00:00,7965.06,7965.06,7950.0,7960.0,29.3474
2019-06-04 04:27:00+00:00,7958.99,7963.68,7949.77,7953.87,75.178367
2019-06-04 04:28:00+00:00,7953.59,7967.88,7951.0,7967.88,34.592488
2019-06-04 04:29:00+00:00,7966.02,7970.0,7962.01,7967.0,13.54621
2019-06-04 04:30:00+00:00,7968.62,7980.54,7965.91,7971.01,119.708237
2019-06-04 04:31:00+00:00,7971.01,7973.66,7963.0,7967.21,29.912184
2019-06-04 04:32:00+00:00,7967.21,7970.9,7964.62,7969.42,21.309512
2019-06-04 04:33:00+00:00,7968.38,7976.27,7961.75,7972.88,35.168257
2019-06-04 04:34:00+00:00,7976.0,7980.55,7970.38,7971.22,16.262289
2019-06-04 04:35:00+00:00,7971.84,7974.68,7956.74,7960.48,38.557795
