open,high,low,close,volume,datetime
8709.08,8713.64,8708.48,8709.95,8.287734,2019-06-02 23:09:00+00:00
8709.97,8724.14,8709.95,8720.36,10.07422,2019-06-02 23:10:00+00:00
8720.58,8729.39,8720.02,8726.43,11.466812,2019-06-02 23:11:00+00:00
8726.48,8730.25,8725.72,8730.16,5.033514,2019-06-02 23:12:00+00:00
8728.86,8733.0,8726.09,8731.0,4.456207,2019-06-02 23:13:00+00:00
8732.3,8734.77,8725.02,8728.98,8.830672,2019-06-02 23:14:00+00:00
8727.06,8738.61,8727.06,8736.84,11.027264,2019-06-02 23:15:00+00:00
8737.41,8748.8,8734.59,8748.8,40.766906,2019-06-02 23:16:00+00:00
8748.0,8756.28,8734.79,8736.55,49.04237,2019-06-02 23:17:00+00:00
8736.55,8753.1,8734.69,8750.36,19.044018,2019-06-02 23:18:00+00:00
8750.0,8751.32,8741.62,8741.62,5.753147,2019-06-02 23:19:00+00:00
8744.53,8744.53,8728.13,8741.11,11.73544,2019-06-02 23:20:00+00:00
8736.75,8741.52,8730.18,8730.29,5.948907,2019-06-02 23:21:00+00:00
8730.33,8738.02,8730.33,8735.04,3.97038,2019-06-02 23:22:00+00:00
8732.22,8735.04,8726.03,8726.86,6.363256,2019-06-02 23:23:00+00:00
8726.03,8733.42,8720.69,8729.52,8.586892,2019-06-02 23:24:00+00:00
8734.27,8737.24,8728.47,8728.52,10.064048,2019-06-02 23:25:00+00:00
8732.12,8735.0,8728.5,8728.91,5.963267,2019-06-02 23:26:00+00:00
8731.59,8732.31,8725.0,8728.61,9.200277,2019-06-02 23:27:00+00:00
8728.61,8732.02,8725.65,8729.83,4.130119,2019-06-02 23:28:00+00:00
8727.39,8736.5,8727.39,8732.82,4.212597,2019-06-02 23:29:00+00:00
8735.31,8736.59,8732.32,8735.94,4.794434,2019-06-02 23:30:00+00:00
8735.96,8741.48,8735.94,8739.97,12.991524,2019-06-02 23:31:00+00:00
8739.97,8741.12,8730.0,8732.14,12.174888,2019-06-02 23:32:00+00:00
8731.97,8731.97,8720.0,8720.0,25.329249,2019-06-02 23:33:00+00:00
8720.25,8728.89,8720.25,8721.64,4.942004,2019-06-02 23:34:00+00:00
8723.78,8727.7,8719.0,8725.84,9.713358,2019-06-02 23:35:00+00:00
8722.87,8729.28,8720.11,8725.3,7.2551,2019-06-02 23:36:00+00:00
8728.27,8730.0,8723.08,8726.33,4.855201,2019-06-02 23:37:00+00:00
8726.35,8735.0,8723.34,8733.57,9.546323,2019-06-02 23:38:00+00:00
8730.59,8739.99,8730.59,8738.04,9.807702,2019-06-02 23:39:00+00:00
8738.85,8740.0,8734.76,8740.0,6.679924,2019-06-02 23:40:00+00:00
8740.0,8745.21,8736.9,8744.66,14.394021,2019-06-02 23:41:00+00:00
8743.68,8745.1,8723.34,8728.24,12.418141,2019-06-02 23:42:00+00:00
8730.43,8736.13,8728.0,8734.12,7.399948,2019-06-02 23:43:00+00:00
8734.15,8739.57,8734.15,8739.33,4.800908,2019-06-02 23:44:00+00:00
8739.25,8741.42,8735.15,8739.7,7.077456,2019-06-02 23:45:00+00:00
8738.32,8739.49,8728.0,8728.0,5.306994,2019-06-02 23:46:00+00:00
8728.0,8731.03,8728.0,8728.0,3.898906,2019-06-02 23:47:00+00:00
8728.74,8732.83,8727.23,8732.21,5.724824,2019-06-02 23:48:00+00:00
8730.73,8735.33,8727.58,8732.08,5.457219,2019-06-02 23:49:00+00:00
8732.1,8739.92,8730.24,8734.81,8.059365,2019-06-02 23:50:00+00:00
8734.81,8739.92,8734.81,8736.44,5.393457,2019-06-02 23:51:00+00:00
8737.65,8739.18,8731.48,8737.34,5.012389,2019-06-02 23:52:00+00:00
8737.31,8738.75,8734.04,8734.04,5.715458,2019-06-02 23:53:00+00:00
8735.56,8736.82,8724.33,8729.06,11.198337,2019-06-02 23:54:00+00:00
8725.31,8728.61,8721.67,8725.43,10.4438,2019-06-02 23:55:00+00:00
8725.45,8729.62,8720.73,8728.66,10.184273,2019-06-02 23:56:00+00:00
8728.49,8729.86,8724.37,8729.1,10.440185,2019-06-02 23:57:00+00:00
8729.05,8731.14,8723.86,8723.86,9.132625,2019-06-02 23:58:00+00:00
8723.86,8726.0,8718.0,8725.98,9.637084,2019-06-02 23:59:00+00:00
8726.0,8733.65,8721.51,8730.11,23.076145,2019-06-03 00:00:00+00:00
8730.11,8733.73,8726.12,8732.04,9.226807,2019-06-03 00:01:00+00:00
8732.04,8738.15,8726.1,8728.97,38.059378,2019-06-03 00:02:00+00:00
